id,codigo_120,name
168,03312200-1,Moluscos
169,03312300-2,Invertebrados aquáticos
170,03313000-6,Produtos aquáticos
171,03313100-7,Corais e matérias semelhantes
172,03313200-8,Esponjas naturais
173,03313300-9,Algas marinhas
174,03313310-2,Algas
175,03320000-8,"Gado e outros animais, incluindo de pequeno porte"
176,03321000-5,Bovinos
177,03321100-6,Gado bovino
178,03321200-7,Vitelos
179,03322000-2,Animais vivos
180,03322100-3,Ovinos
181,03322200-4,Caprinos
182,03322300-5,Cavalos
183,03323000-9,Suínos
184,03324000-6,Aves de capoeira vivas
185,03325000-3,Animais de pequeno porte
186,03325100-4,Coelhos
187,03325200-5,Lebres
188,03330000-3,Produtos de animais de criação
189,03331000-0,Leite fresco de ovinos e caprinos
190,03331100-1,Leite de ovelha
191,03331200-2,Leite de cabra
192,03332000-7,Lã e pêlos de origem animal
193,03332100-8,Lã de tosquia
194,03332200-9,Pêlos de origem animal
195,03333000-4,Leite de vaca fresco
196,03340000-6,Brincos para animais
197,03341000-3,Brincos para bovinos
198,03400000-4,Produtos da silvicultura e da exploração florestal
199,03410000-7,Madeira
200,03411000-4,Madeira de coníferas
201,03412000-1,Madeira tropical
202,03413000-8,Madeira para combustível
203,03414000-5,Madeira em bruto
204,03415000-2,Madeira de resinosas
205,03416000-9,Desperdícios de madeira
206,03417000-6,Aparas de madeira
207,03417100-7,Serrim
208,03418000-3,Troncos
209,03418100-4,Madeira de folhosas
210,03419000-0,Madeira para construção
211,03419100-1,Produtos de madeira
212,03419200-2,Madeira para minas
213,03420000-0,Gomas
214,03421000-7,Bálsamos
215,03422000-4,Laca
216,03430000-3,Cortiça
217,03431000-0,Cortiça natural
218,03432000-7,Artigos de cestaria
219,03432100-8,Espartaria
220,03440000-6,Produtos da silvicultura
221,03441000-3,"Plantas, ervas, musgos e líquenes para ornamentação"
222,03450000-9,Produtos de viveiros florestais
223,03451000-6,Plantas
224,03451100-7,Plantas de canteiro
225,03451200-8,Bolbos de flores
226,03451300-9,Arbustos
227,03452000-3,Árvores
228,03460000-2,Pasta
229,03461000-9,Pasta de madeira
230,03461100-0,Pasta química de madeira
231,09000000-3,"Produtos petrolíferos, combustíveis, electricidade e outras fontes de energia"
232,09100000-0,Combustíveis
233,09110000-3,Combustíveis sólidos
234,09111000-0,Hulha e combustíveis derivados da hulha
235,09111100-1,Hulha
236,09111200-2,Combustíveis derivados da hulha
237,09111210-5,Carvão de pedra
238,09111220-8,Briquetes
239,09111300-3,Combustíveis fósseis
240,09111400-4,Lenha
241,09112000-7,Linhite e turfa
242,09112100-8,Linhite
243,09112200-9,Turfa
244,09113000-4,Coque
245,09120000-6,Combustíveis gasosos
246,09121000-3,"Gás de hulha, gás de cidade ou gases similares"
247,09121100-4,Gás de hulha ou gases similares
248,09121200-5,Gás de cidade
249,09122000-0,Propano e butano
250,09122100-1,Gás propano
251,09122110-4,Gás propano liquefeito
252,09122200-2,Gás butano
253,09122210-5,Gás butano liquefeito
254,09123000-7,Gás natural
255,09130000-9,Petróleo e destilados
256,09131000-6,Querosene para aeronaves
257,09131100-7,Combustíveis do tipo querosene para motores de reacção
258,09132000-3,Gasolina
259,09132100-4,Gasolina sem chumbo
260,09132200-5,Gasolina com chumbo
261,09132300-6,Gasolina com etanol
262,09133000-0,Gás de petróleo liquefeito (GPL)
263,09134000-7,Gasóleos
264,09134100-8,Gasóleo
265,09134200-9,Combustível para motores a diesel
266,09134210-2,"Gasóleo ou combustível para motores diesel (0,2)"
267,09134220-5,Gasóleo ou combustível para motores diesel (EN 590)
268,09134230-8,Biodiesel
269,09134231-5,Biodiesel (B20)
270,09134232-2,Biodiesel (B100)
271,09135000-4,Fuelóleos
272,09135100-5,Combustível para aquecimento
273,09135110-8,Óleos combustíveis com baixo teor de enxofre
274,09200000-1,"Petróleo, carvão e produtos petrolíferos"
275,09210000-4,Preparações lubrificantes
276,09211000-1,Óleos lubrificantes e agentes lubrificantes
277,09211100-2,Óleos para motores
278,09211200-3,Óleos para compressores
279,09211300-4,Óleos para turbinas
280,09211400-5,Óleos para engrenagens
281,09211500-6,Óleos para engrenagens redutoras
282,09211600-7,Óleos para sistemas hidráulicos e para outros usos
283,09211610-0,Líquidos para transmissões hidráulicas
284,09211620-3,Óleos desmoldantes
285,09211630-6,Óleos anticorrosão
286,09211640-9,Óleos para isolamento eléctrico
287,09211650-2,Fluidos de travões
288,09211700-8,Óleos brancos e parafina líquida
289,09211710-1,Óleos brancos
290,09211720-4,Parafina líquida
291,09211800-9,Óleos e preparações à base de petróleo
292,09211810-2,Óleos leves
293,09211820-5,Óleos de petróleo
294,09211900-0,Óleos lubrificantes para tracção
295,09220000-7,"Vaselina, ceras e essências especiais"
296,09221000-4,Vaselina e ceras de petróleo
297,09221100-5,Vaselina
298,09221200-6,Parafina
299,09221300-7,Cera de petróleo
300,09221400-8,Resíduos de petróleo
301,09222000-1,Essências especiais
302,09222100-2,White spirit
303,09230000-0,Petróleo bruto (crude)
304,09240000-3,Produtos relacionados com petróleo e carvão
305,09241000-0,Xistos betuminosos
306,09242000-7,Produtos derivados da hulha
307,09242100-8,Petróleo derivado da hulha
308,09300000-2,"Electricidade, aquecimento, energia solar e nuclear"
309,09310000-5,Electricidade
310,09320000-8,"Vapor, água quente e produtos afins"
311,09321000-5,Água quente
312,09322000-2,Vapor
313,09323000-9,Aquecimento urbano
314,09324000-6,Aquecimento a grande distância
315,09330000-1,Energia solar
316,09331000-8,Painéis solares
317,09331100-9,Colectores solares para produção de calor
318,09331200-0,Módulos solares fotovoltaicos
319,09332000-5,Instalação solar
320,09340000-4,Combustíveis nucleares
321,09341000-1,Urânio
322,09342000-8,Plutónio
323,09343000-5,Materiais radioactivos
324,09344000-2,Radioisótopos
325,14000000-1,"Exploração mineira, metais de base e produtos afins"
326,14200000-3,Areia e argila
327,14210000-6,"Saibro, areia, brita e agregados"
328,14211000-3,Areia
329,14211100-4,Areia natural
330,14212000-0,"Grânulos, cascalho, pós de pedra, seixos rolados, saibro, pedra britada e triturada, misturas de pedra, seixo-escória e outros agregados"
331,14212100-1,Seixos rolados e saibro
332,14212110-4,Saibro
333,14212120-7,Seixos rolados
334,14212200-2,Agregados
335,14212210-5,Seixo-escória
336,14212300-3,Pedra britada e triturada
337,14212310-6,Balastro
338,14212320-9,Granito britado
339,14212330-2,Basalto britado
340,14212400-4,Terra
341,14212410-7,Terra vegetal
342,14212420-0,Terra proveniente de subsolos
343,14212430-3,Cascalho
344,14213000-7,"Macadame, tarmacadame e areias asfálticas"
345,14213100-8,Macadame
346,14213200-9,Tarmacadame
347,14213300-0,Areias asfálticas
348,14220000-9,Argila e caulino
349,14221000-6,Argila
350,14222000-3,Caulino
351,14300000-4,Minerais químicos e adubos minerais
352,14310000-7,Adubos minerais
353,14311000-4,"Cálcio natural, fosfato aluminocálcico e sais de potássio naturais em bruto"
354,14311100-5,Cálcio natural
355,14311200-6,Fosfatos aluminocálcicos
356,14311300-7,Sais de potássio naturais em bruto
357,14312000-1,Pirites de ferro
358,14312100-2,Pirites de ferro não ustuladas
359,14320000-0,Minerais químicos
360,14400000-5,Sal e cloreto de sódio puro
361,14410000-8,Sal-gema
362,14420000-1,Sal marinho
363,14430000-4,Sal evaporado e cloreto de sódio puro
364,14450000-0,Salmoura
365,14500000-6,Produtos relacionados com as indústrias extractivas
366,14520000-2,Pedras preciosas e semipreciosas; pedra-pomes; esmeril; abrasivos naturais; outros minerais e metais preciosos
367,14521000-9,Pedras preciosas e semipreciosas
368,14521100-0,Pedras preciosas
369,14521140-2,Pó de pedras preciosas
370,14521200-1,Pedras semipreciosas
371,14521210-4,Pó de pedras semipreciosas
372,14522000-6,Diamantes industriais; pedra-pomes; esmeril e outros abrasivos naturais
373,14522100-7,Pedra-pomes
374,14522200-8,Diamantes industriais
375,14522300-9,Esmeril
376,14522400-0,Abrasivos naturais
377,14523000-3,"Metais preciosos, minerais e produtos afins"
378,14523100-4,Minerais
379,14523200-5,Ouro
380,14523300-6,Prata
381,14523400-7,Platina
382,14600000-7,Minérios e ligas de metal
383,14610000-0,Minérios de metal
384,14611000-7,Minérios de ferro
385,14612000-4,Minérios de metal não ferrosos
386,14612100-5,Minérios de cobre
387,14612200-6,Minérios de níquel
388,14612300-7,Minérios de alumínio
389,14612400-8,Minérios de metais preciosos
390,14612500-9,Minérios de chumbo
391,14612600-0,Minérios de zinco
392,14612700-1,Minérios de estanho
393,14613000-1,Minérios de urânio e de tório
394,14613100-2,Minérios de urânio
395,14613200-3,Minérios de tório
396,14614000-8,Minérios diversos
397,14620000-3,Ligas
398,14621000-0,Ferro-ligas
399,14621100-1,Ferro-ligas não CECA
400,14621110-4,Ferro-manganés
401,14621120-7,Ferro-crómio
402,14621130-0,Ferro-níquel
403,14622000-7,Aço
404,14630000-6,"Escórias, desperdícios, resíduos de ferro e sucata"
405,14700000-8,Metais de base
406,14710000-1,"Ferro, chumbo, zinco, estanho e cobre"
407,14711000-8,Ferro
408,14711100-9,Ferro fundido
409,14712000-5,Chumbo
410,14713000-2,Zinco
411,14714000-9,Estanho
412,14715000-6,Cobre
413,14720000-4,"Alumínio, níquel, escândio, titânio e vanádio"
414,14721000-1,Alumínio
415,14721100-2,Óxido de alumínio
416,14722000-8,Níquel
417,14723000-5,Escândio
418,14724000-2,Titânio
419,14725000-9,Vanádio
420,14730000-7,"Crómio, manganês, cobalto, ítrio e zircónio"
421,14731000-4,Crómio
422,14732000-1,Manganês
423,14733000-8,Cobalto
424,14734000-5,Ítrio
425,14735000-2,Zircónio
426,14740000-0,"Molibdénio, tecnécio, ruténio e ródio"
427,14741000-7,Molibdénio
428,14742000-4,Tecnécio
429,14743000-1,Ruténio
430,14744000-8,Ródio
431,14750000-3,"Cádmio, lutécio, háfnio, tântalo e tungsténio"
432,14751000-0,Cádmio
433,14752000-7,Lutécio
434,14753000-4,Háfnio
435,14754000-1,Tântalo
436,14755000-8,Tungsténio
437,14760000-6,"Irídio, gálio, índio, tálio e bário"
438,14761000-3,Irídio
439,14762000-0,Gálio
440,14763000-7,Índio
441,14764000-4,Tálio
442,14765000-1,Bário
443,14770000-9,"Césio, estrôncio, rubídio e cálcio"
444,14771000-6,Césio
445,14772000-3,Estrôncio
446,14773000-0,Rubídio
447,14774000-7,Cálcio
448,14780000-2,"Potássio, magnésio, sódio e lítio"
449,14781000-9,Potássio
450,14782000-6,Magnésio
451,14783000-3,Sódio
452,14784000-0,Lítio
453,14790000-5,"Nióbio, ósmio, rénio e paládio"
454,14791000-2,Nióbio
455,14792000-9,Ósmio
456,14793000-6,Rénio
457,14794000-3,Paládio
458,14800000-9,Produtos minerais não metálicos diversos
459,14810000-2,Produtos abrasivos
460,14811000-9,"Mós, pedras de amolar e rebolos"
461,14811100-0,Mós
462,14811200-1,Pedras de amolar
463,14811300-2,Rebolos
464,14812000-6,Abrasivos em pó ou em grão
465,14813000-3,Corindo artificial
466,14814000-0,Grafite artificial
467,14820000-5,Vidro
468,14830000-8,Fibra de vidro
469,14900000-0,Matérias-primas secundárias de recuperação
470,14910000-3,Matérias-primas secundárias metálicas de recuperação
471,14920000-6,Matérias-primas secundárias não metálicas de recuperação
472,14930000-9,Cinzas e resíduos contendo metais
473,15000000-8,"Produtos alimentares, bebidas, tabaco e produtos afins"
474,15100000-9,"Produtos de origem animal, carne e produtos à base de carne"
475,15110000-2,Carne
476,15111000-9,Carne de bovino
477,15111100-0,Carne de vaca
478,15111200-1,Carne de vitela
479,15112000-6,Carne de aves de capoeira
480,15112100-7,Carnes frescas de aves de capoeira
481,15112110-0,Gansos
482,15112120-3,Perus
483,15112130-6,Frangos
484,15112140-9,Patos
485,15112300-9,Fígados de aves de capoeira
486,15112310-2,Pasta de fígado (foie gras)
487,15113000-3,Carne de suíno
488,15114000-0,Miudezas
489,15115000-7,Carne de borrego e de carneiro
490,15115100-8,Carne de borrego
491,15115200-9,Carne de carneiro
492,15117000-1,Carne de caprino
493,15118000-8,"Carne de animais da espécie cavalar, asinina e muar"
494,15118100-9,Carne de animais da espécie cavalar
495,15118900-7,Carne de animais da espécie asinina e muar
496,15119000-5,Carnes diversas
497,15119100-6,Carne de coelho
498,15119200-7,Carne de lebre
499,15119300-8,Caça
500,15119400-9,Coxas de rã
501,15119500-0,Pombos
502,15119600-1,Carne de peixe
503,15130000-8,Produtos à base de carne
504,15131000-5,Conservas e preparações à base de carne
505,15131100-6,Produtos à base de enchidos de carne
506,15131110-9,Enchidos de carne
507,15131120-2,Produtos à base de enchidos
508,15131130-5,Enchidos
509,15131134-3,Morcela preta e outros enchidos de sangue
510,15131135-0,Enchidos de carne de aves de capoeira
511,15131200-7,"Carnes secas, fumadas, salgadas ou temperadas"
512,15131210-0,Presunto fumado
513,15131220-3,Toucinho fumado (bacon)
514,15131230-6,Salame
515,15131300-8,Preparações à base de fígado
516,15131310-1,Pâté (pasta de fígado)
517,15131320-4,Preparações à base de fígado de ganso ou de pato
518,15131400-9,Produtos à base de carne de suíno
519,15131410-2,Presunto
520,15131420-5,Almôndegas
521,15131490-6,"Pratos à base de carne de suíno, preparados"
522,15131500-0,Produtos de aviário
523,15131600-1,Produtos à base de carne de vaca e de vitela
524,15131610-4,Almôndegas de carne de vaca
525,15131620-7,Carne de vaca picada
526,15131640-3,Bife de carne picada
527,15131700-2,Preparações à base de carne
528,15200000-0,Preparações e conservas à base de peixe
529,15210000-3,"Filetes de peixe, fígado e ovas de peixe"
530,15211000-0,Filetes de peixe
531,15211100-1,Filetes de peixe frescos
532,15212000-7,Ovas de peixe
533,15213000-4,Fígado de peixe
534,15220000-6,"Peixe, filetes de peixe e outras carnes de peixe, congelados"
535,15221000-3,Peixe congelado
536,15229000-9,"Produtos à base de peixe, congelados"
537,15230000-9,Peixe seco ou salgado; peixe em salmoura; peixe fumado
538,15231000-6,Peixe seco
539,15232000-3,Peixe salgado
540,15233000-0,Peixe em salmoura
541,15234000-7,Peixe fumado
542,15235000-4,Conservas à base de peixe
543,15240000-2,Peixe em conserva ou em lata e outras preparações ou conservas à base de peixe
544,15241000-9,"Peixe panado, peixe em lata"
545,15241100-0,Salmão em lata
546,15241200-1,Preparações e conservas de arenque
547,15241300-2,Sardinha
548,15241400-3,Atum em lata
549,15241500-4,Cavala
550,15241600-5,Anchova
551,15241700-6,"Panados de peixe tipo ""douradinhos"""
552,15241800-7,Preparações à base de peixe panado
553,15242000-6,"Pratos à base de peixe, preparados"
554,15243000-3,Preparações à base de peixe
555,15244000-0,Caviar e ovas de peixe
556,15244100-1,Caviar
557,15244200-2,Ovas
558,15250000-5,Marisco
559,15251000-2,Crustáceos congelados
560,15252000-9,Crustáceos preparados ou em conserva
561,15253000-6,Produtos à base de moluscos
562,15300000-1,"Fruta, produtos hortícolas e produtos afins"
563,15310000-4,Batata e produtos à base de batata
564,15311000-1,Batata congelada
565,15311100-2,Batata frita
566,15311200-3,Batata cortada em pedaços ou fatias e outro tipo de batata congelada
567,15312000-8,Produtos à base de batata
568,15312100-9,Puré de batata instantâneo
569,15312200-0,"Batata previamente cozida, para fritura"
570,15312300-1,Batata frita às rodelas
571,15312310-4,"Batata frita às rodelas, aromatizada"
572,15312400-2,Refeições leves à base de batata
573,15312500-3,Croquetes de batata
574,15313000-5,Batata transformada
575,15320000-7,Sumos de fruta e de produtos hortícolas
576,15321000-4,Sumos de fruta
577,15321100-5,Sumo de laranja
578,15321200-6,Sumo de toranja
579,15321300-7,Sumo de limão
580,15321400-8,Sumo de ananás
581,15321500-9,Sumo de uva
582,15321600-0,Sumo de maçã
583,15321700-1,Misturas de sumos não concentrados
584,15321800-2,Sumos concentrados
585,15322000-1,Sumos de produtos hortícolas
586,15322100-2,Sumo de tomate
587,15330000-0,Frutos e produtos hortícolas transformados
588,15331000-7,Produtos hortícolas transformados
589,15331100-8,Produtos hortícolas frescos ou congelados
590,15331110-1,Raízes comestíveis transformadas
591,15331120-4,Tubérculos transformados
592,15331130-7,"Feijão, ervilha, pimento, tomate e outros produtos hortícolas"
593,15331131-4,Feijão transformado
594,15331132-1,Ervilha transformada
595,15331133-8,Ervilha partida
596,15331134-5,Tomate transformado
597,15331135-2,Cogumelos transformados
598,15331136-9,Pimento transformado
599,15331137-6,Rebentos de soja
600,15331138-3,Trufas
601,15331140-0,Couve e hortaliça de folha
602,15331142-4,Couve transformada
603,15331150-3,Grãos de leguminosas transformados
604,15331170-9,Produtos hortícolas congelados
605,15331400-1,Produtos hortícolas conservados e/ou em lata
606,15331410-4,Feijão em molho de tomate
607,15331411-1,"Feijão branco cozido, em molho de tomate"
608,15331420-7,Tomate em conserva
609,15331423-8,Tomate em lata
610,15331425-2,Polpa de tomate
611,15331427-6,Polpa de tomate concentrada
612,15331428-3,Molho de tomate
613,15331430-0,Cogumelos em lata
614,15331450-6,Azeitona transformada
615,15331460-9,Produtos hortícolas em lata
616,15331461-6,Chucrute em lata
617,15331462-3,Ervilha em lata
618,15331463-0,Feijão em grão em lata
619,15331464-7,Feijão inteiro em lata
620,15331465-4,Espargos em lata
621,15331466-1,Azeitona em lata
622,15331470-2,Milho doce
623,15331480-5,Produtos hortícolas conservados provisoriamente
624,15331500-2,Produtos hortícolas conservados em vinagre
625,15332000-4,Fruta e frutos de casca rija transformados
626,15332100-5,Fruta transformada
627,15332140-7,Maçã transformada
628,15332150-0,Pêra transformada
629,15332160-3,Banana transformada
630,15332170-6,Ruibarbo
631,15332180-9,Melão
632,15332200-6,Doces e geleias de fruta; purés e pastas de fruta ou de frutos de casca rija
633,15332230-5,Doces de citrinos
634,15332231-2,Doce de laranja
635,15332232-9,Doce de limão
636,15332240-8,Geleias de fruta
637,15332250-1,Pastas de fruta
638,15332260-4,Pastas de frutos de casca rija
639,15332261-1,Manteiga de amendoim
640,15332270-7,Purés de fruta
641,15332290-3,Doces de fruta
642,15332291-0,Doce de damasco
643,15332292-7,Doce de amora
644,15332293-4,Doce de groselha
645,15332294-1,Doce de cereja
646,15332295-8,Doce de framboesa
647,15332296-5,Doce de morango
648,15332300-7,Frutos de casca transformados
649,15332310-0,Frutos de casca rija torrados ou salgados
650,15332400-8,Frutos em conserva
651,15332410-1,Frutos secos
652,15332411-8,Uvas de corinto transformadas
653,15332412-5,Passas transformadas
654,15332419-4,Sultanas
655,15333000-1,Subprodutos vegetais
656,15400000-2,Óleos e gorduras animais e vegetais
657,15410000-5,Óleos e gorduras animais e vegetais brutos
658,15411000-2,Óleos animais e vegetais
659,15411100-3,Óleos vegetais
660,15411110-6,Azeite
661,15411120-9,Óleo de sésamo
662,15411130-2,Óleo de amendoim
663,15411140-5,Óleo de coco
664,15411200-4,Óleo de cozinha
665,15411210-7,Óleo para fritar
666,15412000-9,Gorduras
667,15412100-0,Gorduras de origem animal
668,15412200-1,Gorduras de origem vegetal
669,15413000-6,Resíduos sólidos provenientes de gorduras ou óleos vegetais
670,15413100-7,Bagaços
671,15420000-8,Óleos e gorduras refinados
672,15421000-5,Óleos refinados
673,15422000-2,Gorduras refinadas
674,15423000-9,Gorduras e óleos hidrogenados ou esterificados
675,15424000-6,Ceras vegetais
676,15430000-1,Gorduras alimentares
677,15431000-8,Margarinas e preparações similares
678,15431100-9,Margarina
679,15431110-2,Margarina líquida
680,15431200-0,Cremes para barrar com baixo teor de matéria gorda
681,15500000-3,Lacticínios
682,15510000-6,Leite e natas
683,15511000-3,Leite
684,15511100-4,Leite pasteurizado
685,15511200-5,Leite esterilizado
686,15511210-8,Leite do tipo UHT
687,15511300-6,Leite magro
688,15511400-7,Leite meio-gordo
689,15511500-8,Leite gordo
690,15511600-9,Leite condensado
691,15511700-0,Leite em pó
692,15512000-0,Natas
693,15512100-1,Natas magras
694,15512200-2,Natas gordas
695,15512300-3,Natas coalhadas (clotted cream)
696,15512900-9,Natas batidas
697,15530000-2,Manteiga
698,15540000-5,Queijo
699,15541000-2,Queijo de mesa
700,15542000-9,Queijo fresco
701,15542100-0,Queijo cottage
702,15542200-1,Queijo mole
703,15542300-2,Queijo feta
704,15543000-6,"Queijo ralado, em pó, de pasta azul e outros tipos"
705,15543100-7,Queijo de pasta azul
706,15543200-8,Queijo cheddar
707,15543300-9,Queijo ralado
708,15543400-0,Queijo parmesão
709,15544000-3,Queijo duro
710,15545000-0,Queijo para barrar
711,15550000-8,Lacticínios variados
712,15551000-5,Iogurte e outros produtos lácteos fermentados
713,15551300-8,Iogurte
714,15551310-1,Iogurte não aromatizado
715,15551320-4,Iogurte aromatizado
716,15551500-0,Leitelho
717,15552000-2,Caseína
718,15553000-9,Lactose ou xarope de lactose
719,15554000-6,Soro de leite
720,15555000-3,Gelados e produtos similares
721,15555100-4,Gelados
722,15555200-5,Sorvetes
723,15600000-4,"Produtos da transformação de cereais e leguminosas, amidos e féculas"
724,15610000-7,Produtos da transformação de cereais e leguminosas
725,15611000-4,Arroz descascado
726,15612000-1,Farinhas de cereais ou leguminosas e produtos afins
727,15612100-2,Farinha de trigo
728,15612110-5,Farinha de trigo integral
729,15612120-8,Farinha para panificação
730,15612130-1,Farinha simples
731,15612150-7,Farinha para pastelaria
732,15612190-9,Farinha com fermento
733,15612200-3,Farinhas de cereais
734,15612210-6,Farinha de milho
735,15612220-9,Farinha de arroz
736,15612300-4,Farinhas e sêmolas de produtos hortícolas
737,15612400-5,Misturas para a preparação de produtos de padaria
738,15612410-8,Misturas para a preparação de produtos de pastelaria
739,15612420-1,Misturas para produtos de padaria
740,15612500-6,Produtos de padaria
741,15613000-8,Produtos cerealíferos
742,15613100-9,Aveia moída
743,15613300-1,Produtos à base de cereais
744,15613310-4,Cereais preparados para pequeno-almoço
745,15613311-1,Flocos de milho
746,15613313-5,Muesli ou equivalente
747,15613319-7,Trigo expandido
748,15613380-5,Flocos de aveia
749,15614000-5,Arroz transformado
750,15614100-6,Arroz agulha
751,15614200-7,Arroz branqueado
752,15614300-8,Trincas de arroz
753,15615000-2,Farelo
754,15620000-0,Produtos à base de amido e fécula
755,15621000-7,Óleo de milho
